#At time x allocated y bytes for process z from i to j
At time 0 allocated 120 bytes for process 1 from 0 to 127
At time 2 allocated 120 bytes for process 2 from 128 to 255
At time 6 deallocated 120 bytes for process 1 from 0 to 127
At time 6 allocated 120 bytes for process 3 from 0 to 127
At time 10 deallocated 120 bytes for process 2 from 128 to 255
At time 10 allocated 120 bytes for process 4 from 128 to 255
At time 14 deallocated 120 bytes for process 3 from 0 to 127
At time 14 allocated 200 bytes for process 5 from 256 to 511
At time 16 allocated 500 bytes for process 6 from 512 to 1023
At time 20 deallocated 120 bytes for process 4 from 128 to 255
At time 22 deallocated 200 bytes for process 5 from 256 to 511
At time 24 deallocated 500 bytes for process 6 from 512 to 1023
#At time x allocated y bytes for process z from i to j
At time 0 allocated 120 bytes for process 1 from 0 to 127
At time 2 allocated 120 bytes for process 2 from 128 to 255
At time 6 deallocated 120 bytes for process 1 from 0 to 127
At time 6 allocated 120 bytes for process 3 from 0 to 127
At time 10 deallocated 120 bytes for process 2 from 128 to 255
At time 10 allocated 120 bytes for process 4 from 128 to 255
At time 14 deallocated 120 bytes for process 3 from 0 to 127
At time 16 deallocated 120 bytes for process 4 from 128 to 255
At time 20 deallocated 200 bytes for process 5 from 0 to 255
At time 21 allocated 500 bytes for process 6 from 0 to 511
At time 24 deallocated 500 bytes for process 6 from 0 to 511
